mutant,operator,info,status
 319,CRP,nayajson:18 ,killed by test_string_parsing
 320,CRP,nayajson:19 ,killed by test_arrays
 321,CRP,nayajson:20 ,killed by test_objects
 322,CRP,nayajson:21 ,killed by test_objects
 323,CRP,nayajson:22 ,killed by test_objects
 324,CRP,nayajson:23 ,+survived
 325,CRP,nayajson:24 ,+survived
 326,CRP,nayajson:25 ,+survived
 327,CRP,nayajson:26 ,killed by test_objects
 328,CRP,nayajson:27 ,killed by test_objects
 329,CRP,nayajson:28 ,killed by test_objects
 330,CRP,nayajson:29 ,killed by test_string_parsing
 331,CRP,nayajson:30 ,killed by test_string_parsing
 332,CRP,nayajson:31 ,killed by test_string_parsing
 333,CRP,nayajson:32 ,killed by test_string_parsing
 334,CRP,nayajson:33 ,+survived
 335,CRP,nayajson:36 ,killed by test_arrays
 336,CRP,nayajson:36 ,killed by test_arrays
 337,CRP,nayajson:38 ,+survived
 338,CRP,nayajson:40 ,-survived
 339,CRP,nayajson:47 ,killed by test_objects
 340,CRP,nayajson:47 ,killed by test_objects
 341,CRP,nayajson:49 ,killed by test_objects
 342,CRP,nayajson:49 ,killed by test_objects
 343,CRP,nayajson:50 ,killed by test_objects
 344,CRP,nayajson:50 ,killed by test_objects
 345,CRP,nayajson:52 ,killed by test_objects
 346,CRP,nayajson:52 ,killed by test_objects
 347,CRP,nayajson:53 ,killed by test_arrays
 348,CRP,nayajson:53 ,killed by test_arrays
 349,CRP,nayajson:55 ,killed by test_arrays
 350,CRP,nayajson:55 ,killed by test_arrays
 351,CRP,nayajson:56 ,killed by test_arrays
 352,CRP,nayajson:56 ,killed by test_arrays
 353,CRP,nayajson:58 ,killed by test_arrays
 354,CRP,nayajson:58 ,killed by test_arrays
 355,CRP,nayajson:59 ,killed by test_arrays
 356,CRP,nayajson:59 ,killed by test_arrays
 357,CRP,nayajson:61 ,killed by test_arrays
 358,CRP,nayajson:61 ,killed by test_arrays
 359,CRP,nayajson:62 ,killed by test_objects
 360,CRP,nayajson:62 ,killed by test_objects
 361,CRP,nayajson:64 ,killed by test_objects
 362,CRP,nayajson:64 ,killed by test_objects
 363,CRP,nayajson:65 ,killed by test_arrays
 364,CRP,nayajson:65 ,killed by test_arrays
 365,CRP,nayajson:67 ,killed by test_number_parsing
 366,CRP,nayajson:67 ,killed by test_number_parsing
 367,CRP,nayajson:70 ,killed by test_number_parsing
 368,CRP,nayajson:70 ,killed by test_number_parsing
 369,CRP,nayajson:73 ,killed by test_number_parsing
 370,CRP,nayajson:73 ,killed by test_number_parsing
 371,CRP,nayajson:76 ,+survived
 372,CRP,nayajson:76 ,+survived
 373,CRP,nayajson:78 ,killed by test_objects
 374,CRP,nayajson:78 ,killed by test_objects
 375,CRP,nayajson:80 ,killed by test_objects
 376,CRP,nayajson:80 ,killed by test_objects
 377,CRP,nayajson:83 ,+survived
 378,CRP,nayajson:83 ,+survived
 379,CRP,nayajson:85 ,killed by test_number_parsing
 380,CRP,nayajson:85 ,killed by test_number_parsing
 381,CRP,nayajson:87 ,killed by test_number_parsing
 382,CRP,nayajson:87 ,killed by test_number_parsing
 383,CRP,nayajson:90 ,killed by test_number_parsing
 384,CRP,nayajson:90 ,killed by test_number_parsing
 385,CRP,nayajson:90 ,killed by test_number_parsing
 386,CRP,nayajson:90 ,killed by test_number_parsing
 387,CRP,nayajson:96 ,killed by test_number_parsing
 388,CRP,nayajson:99 ,+survived
 389,CRP,nayajson:99 ,+survived
 390,CRP,nayajson:101,killed by test_number_parsing
 391,CRP,nayajson:101,killed by test_number_parsing
 392,CRP,nayajson:104,killed by test_number_parsing
 393,CRP,nayajson:104,killed by test_number_parsing
 394,CRP,nayajson:104,+survived
 395,CRP,nayajson:104,+survived
 396,CRP,nayajson:110,killed by test_number_parsing
 397,CRP,nayajson:113,+survived
 398,CRP,nayajson:113,+survived
 399,CRP,nayajson:115,killed by test_number_parsing
 400,CRP,nayajson:115,killed by test_number_parsing
 401,CRP,nayajson:118,+survived
 402,CRP,nayajson:118,+survived
 403,CRP,nayajson:122,+survived
 404,CRP,nayajson:122,+survived
 405,CRP,nayajson:124,+survived
 406,CRP,nayajson:124,+survived
 407,CRP,nayajson:124,killed by test_number_parsing
 408,CRP,nayajson:124,killed by test_number_parsing
 409,CRP,nayajson:124,killed by test_number_parsing
 410,CRP,nayajson:124,killed by test_number_parsing
 411,CRP,nayajson:128,+survived
 412,CRP,nayajson:128,+survived
 413,CRP,nayajson:130,killed by test_number_parsing
 414,CRP,nayajson:130,killed by test_number_parsing
 415,CRP,nayajson:134,killed by test_number_parsing
 416,CRP,nayajson:138,+survived
 417,CRP,nayajson:138,+survived
 418,CRP,nayajson:140,killed by test_number_parsing
 419,CRP,nayajson:140,killed by test_number_parsing
 420,CRP,nayajson:142,+survived
 421,CRP,nayajson:142,+survived
 422,CRP,nayajson:142,killed by test_number_parsing
 423,CRP,nayajson:142,killed by test_number_parsing
 424,CRP,nayajson:147,killed by test_number_parsing
 425,CRP,nayajson:151,+survived
 426,CRP,nayajson:151,+survived
 427,CRP,nayajson:153,killed by test_number_parsing
 428,CRP,nayajson:153,killed by test_number_parsing
 429,CRP,nayajson:157,+survived
 430,CRP,nayajson:157,+survived
 431,CRP,nayajson:159,+survived
 432,CRP,nayajson:159,+survived
 433,CRP,nayajson:162,+survived
 434,CRP,nayajson:162,+survived
 435,CRP,nayajson:164,+survived
 436,CRP,nayajson:164,+survived
 437,CRP,nayajson:167,+survived
 438,CRP,nayajson:167,+survived
 439,CRP,nayajson:169,+survived
 440,CRP,nayajson:169,+survived
 441,CRP,nayajson:172,+survived
 442,CRP,nayajson:172,+survived
 443,CRP,nayajson:174,+survived
 444,CRP,nayajson:174,+survived
 445,CRP,nayajson:179,+survived
 446,CRP,nayajson:179,+survived
 447,CRP,nayajson:181,killed by test_objects
 448,CRP,nayajson:181,killed by test_objects
 449,CRP,nayajson:184,+survived
 450,CRP,nayajson:184,+survived
 451,CRP,nayajson:186,killed by test_objects
 452,CRP,nayajson:186,killed by test_objects
